,Time,Type,Volume,Symbol,Price,S/L,T/P,Time,Price,Commission,Swap,Profit,Comment
0.0,2021-04-25 12:00:00,Balance,0.0,0,0.0,0,0,0,0.0,0.0,0,1087.724588719242,0
0.0,2021-04-25 12:00:00,BUY,0.011,BTCUSDT,49550.74,0,0,2021-05-13 04:00:00,50461.99,2.2191086723474003,0,17.98956367505275,0
1.0,2021-05-13 16:00:00,BUY,0.011179889162065,BTCUSDT,49627.63,0,0,2021-05-13 20:00:00,48569.97,2.2110570624559003,0,-26.0138381033496,0
2.0,2021-05-14 04:00:00,BUY,0.010919757255717033,BTCUSDT,49157.94,0,0,2021-05-14 08:00:00,49987.19,2.2012619536096034,0,16.20121623815885,0
3.0,2021-05-14 12:00:00,BUY,0.011081763617189,BTCUSDT,50538.13,0,0,2021-05-14 16:00:00,51211.98000000001,2.2300055108069,0,12.53095822001228,0
4.0,2021-05-17 16:00:00,BUY,0.011205590635799999,BTCUSDT,43357.0,0,0,2021-05-18 00:00:00,43538.02,2.2446715557620003,0,2.4293161098180462,0
5.0,2021-05-18 04:00:00,BUY,0.011230101373617999,BTCUSDT,44774.78,0,0,2021-05-19 12:00:00,38700.0,2.0926862383618,0,-154.30371246279992,0
6.0,2021-05-21 00:00:00,BUY,0.009688036206251001,BTCUSDT,40525.39,0,0,2021-05-21 08:00:00,39842.58,1.9203312878494998,0,-18.227481067924487,0
7.0,2021-05-22 08:00:00,BUY,0.009505293277012,BTCUSDT,36266.36,0,0,2021-05-23 04:00:00,37421.59,1.9303560326026,0,28.31755049529852,0
8.0,2021-05-23 16:00:00,BUY,0.009788744003188,BTCUSDT,33316.42,0,0,2021-05-23 20:00:00,33047.33,1.9488716991196,0,-9.84709881680078,0
9.0,2021-05-24 04:00:00,BUY,0.009690541096576,BTCUSDT,35250.56,0,0,2021-05-25 00:00:00,38810.99,2.0349191636979,0,95.7450793286597,0
10.0,2021-05-26 00:00:00,BUY,0.010648213021767999,BTCUSDT,38324.72,0,0,2021-05-28 16:00:00,36751.59,2.0849131348528003,0,-45.74956133347587,0
11.0,2021-05-28 20:00:00,BUY,0.01019071970802,BTCUSDT,35789.31,0,0,2021-05-29 16:00:00,34416.26,1.9980676103718,0,-41.05532687176981,0
12.0,2021-05-31 20:00:00,BUY,0.009780166654108797,BTCUSDT,36865.75,0,0,2021-06-08 04:00:00,32817.09,1.8477552030157796,0,-109.14786634358461,0
13.0,2021-06-09 16:00:00,BUY,0.008688522693156,BTCUSDT,36356.42,0,0,2021-06-10 08:00:00,36962.12,1.7512962715892,0,12.709288955726606,0
14.0,2021-06-10 12:00:00,BUY,0.008815780880230216,BTCUSDT,37819.27,0,0,2021-06-18 20:00:00,35323.65,1.7041592191000217,0,-59.819538077098514,0
15.0,2021-06-24 12:00:00,BUY,0.008217584887098,BTCUSDT,33850.78,0,0,2021-06-25 16:00:00,32607.07,1.6125334118046002,0,-31.774340538094748,0
16.0,2021-06-25 20:00:00,BUY,0.007899842094078282,BTCUSDT,32222.91,0,0,2021-07-08 08:00:00,32487.559999999998,1.5856601075354284,0,4.896012821644035,0
