,Time,Type,Volume,Symbol,Price,S/L,T/P,Time,Price,Commission,Swap,Profit,Comment
0,2021-04-24 04:00:00,Balance,0.0,0,0.0,0,0,0,0.0,0.0,0,1100.0,0
0,2021-04-24 04:00:00,BUY,0.010996710699739861,ETCUSDT,31.760199999999998,0,0,2021-04-25 04:00:00,29.344,2.114667169672546,0,-85.68996637512441,0
1,2021-04-26 20:00:00,BUY,0.010143100336248757,ETCUSDT,32.552,0,0,2021-04-27 12:00:00,33.667,2.0623140619063154,0,32.645990628283016,0
2,2021-04-27 16:00:00,BUY,0.010469560242531586,ETCUSDT,33.463,0,0,2021-04-27 20:00:00,33.372,2.0900208248333985,0,-4.934288473498782,0
3,2021-04-28 20:00:00,BUY,0.010420217357796599,ETCUSDT,34.575,0,0,2021-04-29 04:00:00,34.446,2.07911753430456,0,-5.963033053284789,0
4,2021-04-29 12:00:00,BUY,0.010360587024245999,ETCUSDT,34.59,0,0,2021-05-01 20:00:00,43.168,2.32775738655612,0,254.34828302278856,0
5,2021-05-02 04:00:00,BUY,0.012904069857491634,ETCUSDT,42.856,0,0,2021-05-02 08:00:00,44.184,2.6194700551996384,0,37.327020631865935,0
6,2021-05-02 16:00:00,BUY,0.0132764493818634,ETCUSDT,44.718,0,0,2021-05-03 16:00:00,49.062,2.7828034660566603,0,126.05843115610969,0
7,2021-05-04 00:00:00,BUY,0.014537924375371387,ETCUSDT,52.065,0,0,2021-05-04 04:00:00,50.826,2.8715695235253187,0,-37.43312863494725,0
8,2021-05-04 16:00:00,BUY,0.014163350286677201,ETCUSDT,58.334,0,0,2021-05-05 04:00:00,76.198,3.26455347040808,0,430.03519463089947,0
9,2021-05-05 12:00:00,BUY,0.01846394503533091,ETCUSDT,73.73,0,0,2021-05-06 04:00:00,95.941,4.246608665723752,0,551.4194444953778,0
10,2021-05-06 08:00:00,BUY,0.023978139475477497,ETCUSDT,94.041,0,0,2021-05-06 20:00:00,148.163,6.1718278411819805,0,1372.4259321928462,0
11,2021-05-07 00:00:00,BUY,0.037702398800331195,ETCUSDT,133.864,0,0,2021-05-07 12:00:00,138.407,7.66453381679728,0,120.15976279427605,0
12,2021-05-07 16:00:00,BUY,0.03890399643015592,ETCUSDT,130.682,0,0,2021-05-09 20:00:00,116.627,7.358910328619611,0,-425.357468097176,0
13,2021-05-10 00:00:00,BUY,0.03465042174918416,ETCUSDT,117.906,0,0,2021-05-10 04:00:00,123.62,7.094375416441216,0,160.66173336286147,0
14,2021-05-10 08:00:00,BUY,0.036257039082812775,ETCUSDT,123.884,0,0,2021-05-10 16:00:00,121.789,7.186529216255217,0,-68.43942561531185,0
15,2021-05-10 20:00:00,BUY,0.03557264482665966,ETCUSDT,100.12,0,0,2021-05-15 16:00:00,102.161,7.183415932374376,0,65.26081559273507,0
16,2021-05-16 04:00:00,BUY,0.036214677753189,ETCUSDT,99.31,0,0,2021-05-16 12:00:00,100.216,7.27231950735914,0,25.733104989300045,0
17,2021-05-16 20:00:00,BUY,0.03648258403248001,ETCUSDT,90.497,0,0,2021-05-17 00:00:00,93.874,7.428871382206421,0,128.57396273146105,0
18,2021-05-17 04:00:00,BUY,0.03776832365979462,ETCUSDT,83.589,0,0,2021-05-18 16:00:00,87.473,7.725204600303043,0,167.59149610979512,0
19,2021-05-18 20:00:00,BUY,0.03944423862089257,ETCUSDT,87.929,0,0,2021-05-19 00:00:00,88.575,7.913853358848006,0,21.0362051727343,0
20,2021-05-19 04:00:00,BUY,0.039654600672619916,ETCUSDT,80.796,0,0,2021-05-19 08:00:00,76.975,7.739607889374991,0,-195.0863929711045,0
21,2021-05-19 12:00:00,BUY,0.03770151282088251,ETCUSDT,67.811,0,0,2021-05-19 16:00:00,68.134,7.55447258576479,0,10.38570028461254,0
22,2021-05-20 04:00:00,BUY,0.0377922037809272,ETCUSDT,61.391,0,0,2021-05-20 08:00:00,69.463,8.05107568514176,0,488.36307364927006,0
23,2021-05-20 16:00:00,BUY,0.0426741385606126,ETCUSDT,72.431,0,0,2021-05-20 20:00:00,71.46,8.473409145065853,0,-65.62456234566525,0
24,2021-05-22 04:00:00,BUY,0.04203497885879104,ETCUSDT,59.663,0,0,2021-05-23 16:00:00,47.453,7.543408996521504,0,-866.9266863473458,0
25,2021-05-24 04:00:00,BUY,0.0333572268061582,ETCUSDT,51.106,0,0,2021-05-28 08:00:00,71.702,8.011079970267419,0,1334.9592517461283,0
26,2021-05-28 12:00:00,BUY,0.04671530451277887,ETCUSDT,64.586,0,0,2021-05-28 16:00:00,70.814,9.788412556327085,0,440.23477166626435,0
27,2021-05-29 00:00:00,BUY,0.05111765222944151,ETCUSDT,68.209,0,0,2021-05-29 12:00:00,66.57,10.095710459723051,0,-132.80393140203068,0
28,2021-05-29 16:00:00,BUY,0.0497414375658574,ETCUSDT,62.983000000000004,0,0,2021-05-31 00:00:00,66.147,10.192943470723812,0,239.43715783819152,0
29,2021-05-31 04:00:00,BUY,0.05218398449380312,ETCUSDT,63.022,0,0,2021-05-31 12:00:00,67.602,10.810436115847013,0,368.0471794199211,0
30,2021-05-31 16:00:00,BUY,0.05586445628800233,ETCUSDT,68.089,0,0,2021-06-01 00:00:00,70.018,11.325413718474792,0,146.78349278465248,0
31,2021-06-01 12:00:00,BUY,0.0573136366399688,ETCUSDT,67.592,0,0,2021-06-02 12:00:00,67.658,11.46258674039634,0,-5.8718106738188,0
32,2021-06-02 16:00:00,BUY,0.057273573109110666,ETCUSDT,69.482,0,0,2021-06-04 16:00:00,64.026,10.999702370341927,0,-460.2845965396382,0
33,2021-06-04 20:00:00,BUY,0.0526707271414796,ETCUSDT,65.188,0,0,2021-06-08 00:00:00,58.02300000000001,9.95053820952677,0,-588.2906842645289,0
34,2021-06-08 16:00:00,BUY,0.046770832232963,ETCUSDT,52.31,0,0,2021-06-10 00:00:00,62.306,10.2423467860764,0,882.6150759210195,0
35,2021-06-11 04:00:00,BUY,0.0555996333697992,ETCUSDT,58.168,0,0,2021-06-12 12:00:00,54.921,10.804313971136938,0,-320.8570534570572,0
36,2021-06-12 16:00:00,BUY,0.052400641587294,ETCUSDT,55.055,0,0,2021-06-13 00:00:00,55.221,10.49067212061717,0,5.293195196481975,0
37,2021-06-14 00:00:00,BUY,0.05245833247767344,ETCUSDT,58.999,0,0,2021-06-14 04:00:00,57.909,10.389601388856343,0,-107.20887481943282,0
38,2021-06-14 12:00:00,BUY,0.051386243729479114,ETCUSDT,57.037,0,0,2021-06-14 16:00:00,59.355999999999995,10.480826454002871,0,198.23550602599335,0
39,2021-06-14 20:00:00,BUY,0.0533630996112005,ETCUSDT,58.22299999999999,0,0,2021-06-16 12:00:00,56.184,10.480590118977648,0,-197.1740834203074,0
40,2021-06-21 20:00:00,BUY,0.05139685795553597,ETCUSDT,43.266,0,0,2021-06-23 16:00:00,39.788,9.861483988308038,0,-422.60940099191157,0
41,2021-06-23 20:00:00,BUY,0.04717076394561685,ETCUSDT,38.357,0,0,2021-06-24 08:00:00,40.987,9.752545054224246,0,313.3567964412123,0
42,2021-06-25 12:00:00,BUY,0.0502907093667602,ETCUSDT,40.609,0,0,2021-06-27 08:00:00,40.717,10.066474286843345,0,3.295010141142484,0
43,2021-06-27 16:00:00,BUY,0.0503372820114404,ETCUSDT,40.138,0,0,2021-06-27 20:00:00,39.801,10.02020158584617,0,-52.24128982661205,0
44,2021-06-28 00:00:00,BUY,0.04981486911317428,ETCUSDT,42.319,0,0,2021-06-30 04:00:00,57.859,11.785419597789527,0,1815.6418424681997,0
45,2021-06-30 08:00:00,BUY,0.06795901250585999,ETCUSDT,60.9,0,0,2021-06-30 12:00:00,58.491,13.31645233375458,0,-281.8707185005878,0
46,2021-06-30 16:00:00,BUY,0.0651525803528504,ETCUSDT,53.435,0,0,2021-06-30 20:00:00,55.625,13.29075755785379,0,253.46598776114115,0
47,2021-07-01 00:00:00,BUY,0.06768488797289761,ETCUSDT,57.549,0,0,2021-07-02 20:00:00,52.568,12.94496646299392,0,-598.1876092513048,0
48,2021-07-03 04:00:00,BUY,0.061705364134668796,ETCUSDT,52.832,0,0,2021-07-03 08:00:00,55.248,12.61679788359056,0,269.2787951866767,0
49,2021-07-04 12:00:00,BUY,0.0643847752866444,ETCUSDT,57.758,0,0,2021-07-06 20:00:00,54.287,12.48397951898665,0,-399.02104033255273,0
50,2021-07-21 12:00:00,BUY,0.06040794168649001,ETCUSDT,42.592,0,0,2021-07-22 04:00:00,42.491,12.061237106956211,0,-26.37167328009855,0
51,2021-07-22 08:00:00,BUY,0.060144224952806496,ETCUSDT,43.165,0,0,2021-07-25 00:00:00,49.415,12.89280741171735,0,857.0840362396139,0
52,2021-07-25 04:00:00,BUY,0.06871506531608516,ETCUSDT,47.792,0,0,2021-07-27 08:00:00,47.328,13.669494615037316,0,-80.31643626314508,0
53,2021-07-27 12:00:00,BUY,0.06791190095345372,ETCUSDT,49.371,0,0,2021-07-28 04:00:00,48.848,13.503720076566006,0,-85.37264410595253,0
54,2021-07-28 08:00:00,BUY,0.0670581745123942,ETCUSDT,50.448,0,0,2021-07-29 12:00:00,48.596,13.158997536864778,0,-259.0905456996843,0
55,2021-07-31 00:00:00,BUY,0.064455884216774,ETCUSDT,50.954,0,0,2021-08-03 16:00:00,49.102,12.65069089461924,0,-246.69105120850236,0
56,2021-08-07 04:00:00,BUY,0.062000358543312324,ETCUSDT,54.975,0,0,2021-08-07 16:00:00,58.929,12.839354652613533,0,432.6436251527866,0
57,2021-08-08 00:00:00,BUY,0.0663246053210895,ETCUSDT,60.585,0,0,2021-08-11 00:00:00,58.88,13.071822698611351,0,-199.5377277730522,0
58,2021-08-11 16:00:00,BUY,0.064321036458496,ETCUSDT,61.96,0,0,2021-08-12 04:00:00,64.068,13.076389061809842,0,205.53748469467973,0
59,2021-08-12 16:00:00,BUY,0.06638679236405647,ETCUSDT,58.895,0,0,2021-08-14 16:00:00,66.865,14.168204524802796,0,883.3165267031063,0
60,2021-08-15 00:00:00,BUY,0.07521995763108753,ETCUSDT,67.274,0,0,2021-08-15 04:00:00,70.707,15.419933995970702,0,368.0445315203342,0
61,2021-08-15 12:00:00,BUY,0.07884383158653809,ETCUSDT,71.079,0,0,2021-08-15 16:00:00,74.719,16.16424235746585,0,387.1961809594177,0
62,2021-08-15 20:00:00,BUY,0.08277236475236768,ETCUSDT,74.621,0,0,2021-08-17 00:00:00,69.024,15.925976675485089,0,-636.1450151886966,0
63,2021-08-17 08:00:00,BUY,0.0764098044936807,ETCUSDT,68.831,0,0,2021-08-18 04:00:00,63.448,14.677346659897111,0,-611.6506050495591,0
64,2021-08-18 16:00:00,BUY,0.0702706096379115,ETCUSDT,64.959,0,0,2021-08-18 20:00:00,63.184,13.85527294575131,0,-205.67719381295046,0
65,2021-08-22 16:00:00,BUY,0.06823763661537298,ETCUSDT,66.349,0,0,2021-08-22 20:00:00,66.289,13.634538938722638,0,-19.799159629144015,0
66,2021-08-23 00:00:00,BUY,0.06803964501908155,ETCUSDT,67.369,0,0,2021-08-24 16:00:00,63.309,13.191493431881177,0,-422.82310086509733,0
67,2021-08-31 12:00:00,BUY,0.06381141401043057,ETCUSDT,64.96,0,0,2021-09-07 16:00:00,57.92000000000001,12.065040942508658,0,-702.9257591189225,0
68,2021-09-08 08:00:00,BUY,0.05678215641924134,ETCUSDT,54.34,0,0,2021-09-09 04:00:00,58.68,11.803804456707734,0,441.2475840446814,0
69,2021-09-11 00:00:00,BUY,0.061172897350136,ETCUSDT,56.29,0,0,2021-09-11 04:00:00,56.11,12.2089203247766,0,-31.75077584036262,0
70,2021-09-15 12:00:00,BUY,0.060877124499837,ETCUSDT,57.93,0,0,2021-09-15 16:00:00,58.87,12.2680205510627,0,86.41534299421983,0
71,2021-09-16 04:00:00,BUY,0.061741277930594994,ETCUSDT,57.93,0,0,2021-09-19 04:00:00,56.4,12.1791784873155,0,-175.08214949775538,0
72,2021-09-19 08:00:00,BUY,0.059979902168402,ETCUSDT,56.83,0,0,2021-09-19 12:00:00,55.76,11.877164711657798,0,-124.69489651741787,0
73,2021-09-25 04:00:00,BUY,0.058743507471075006,ETCUSDT,48.12,0,0,2021-09-25 20:00:00,47.58,11.6769714237447,0,-77.5326911469383,0
74,2021-09-26 00:00:00,BUY,0.057931445335281,ETCUSDT,47.31,0,0,2021-09-26 12:00:00,46.81,11.519331777661801,0,-72.68347663853365,0
75,2021-09-27 00:00:00,BUY,0.05724134579120099,ETCUSDT,47.19,0,0,2021-09-27 04:00:00,47.75,11.5104049482576,0,56.349519648262685,0
76,2021-09-27 08:00:00,BUY,0.057804840988156005,ETCUSDT,47.21,0,0,2021-09-27 12:00:00,47.33,11.5698660536942,0,3.10847410812039,0
77,2021-09-27 20:00:00,BUY,0.057810904776297,ETCUSDT,46.21,0,0,2021-09-28 00:00:00,45.35,11.448917370216702,0,-118.93141193528663,0
78,2021-10-01 12:00:00,BUY,0.05664661161143125,ETCUSDT,51.96,0,0,2021-10-02 08:00:00,53.49,11.490290929941324,0,155.14297788627664,0
79,2021-10-03 00:00:00,BUY,0.05818709573369999,ETCUSDT,53.16,0,0,2021-10-07 08:00:00,55.26,11.861229308664598,0,217.76764218930657,0
