,Time,Type,Volume,Symbol,Price,S/L,T/P,Time,Price,Commission,Swap,Profit,Comment
0,2021-04-24 04:00:00,Balance,0.0,0,0.0,0,0,0,0.0,0.0,0,1100.0,0
0,2021-04-24 04:00:00,BUY,0.010999999993416,LTCUSDT,234.06999999999996,0,0,2021-04-24 16:00:00,231.33000000000004,2.1860363849835,0,-15.049650085341455,0
1,2021-04-25 00:00:00,BUY,0.010849503499146583,LTCUSDT,224.75999999999996,0,0,2021-04-25 12:00:00,227.05,2.1798588688026586,0,8.863260454453894,0
2,2021-04-26 08:00:00,BUY,0.010937682627480001,LTCUSDT,241.19999999999996,0,0,2021-04-26 12:00:00,243.97,2.1989913003600003,0,10.349551826387824,0
3,2021-04-27 00:00:00,BUY,0.01104073907246,LTCUSDT,247.4,0,0,2021-04-27 08:00:00,252.13,2.2281312392664,0,18.859367442379607,0
4,2021-04-27 16:00:00,BUY,0.011228481266184,LTCUSDT,257.53,0,0,2021-04-27 20:00:00,257.12,2.2427875644536,0,-4.028628221035206,0
5,2021-04-28 12:00:00,BUY,0.011189064031504,LTCUSDT,255.76000000000002,0,0,2021-05-05 16:00:00,352.09,2.6576998019942994,0,418.3482022946562,0
6,2021-05-05 20:00:00,BUY,0.015373421037115009,LTCUSDT,359.01,0,0,2021-05-06 20:00:00,334.48,2.968210259225901,0,-107.90481635261494,0
7,2021-05-07 00:00:00,BUY,0.014288327369532,LTCUSDT,354.52,0,0,2021-05-08 08:00:00,346.5,2.8239457146732,0,-35.114872210919884,0
8,2021-05-08 20:00:00,BUY,0.01394242827354,LTCUSDT,350.37,0,0,2021-05-09 08:00:00,343.89,2.7613310490594003,0,-28.521693870305626,0
9,2021-05-09 20:00:00,BUY,0.013656488642848,LTCUSDT,359.72,0,0,2021-05-10 16:00:00,401.24,2.8874018878056003,0,154.5824062124791,0
10,2021-05-10 20:00:00,BUY,0.015203002086114,LTCUSDT,366.71,0,0,2021-05-11 00:00:00,358.93,3.0068581744328995,0,-35.22880075572152,0
11,2021-05-11 12:00:00,BUY,0.014851543267344182,LTCUSDT,353.86,0,0,2021-05-13 04:00:00,325.1,2.848238167887419,0,-123.43356942257105,0
12,2021-05-13 08:00:00,BUY,0.01361637328428,LTCUSDT,326.43,0,0,2021-05-14 20:00:00,323.67,2.710411745289,0,-14.211685983860889,0
13,2021-05-15 04:00:00,BUY,0.013475090713279863,LTCUSDT,324.78,0,0,2021-05-15 20:00:00,306.57,2.6181930748003865,0,-78.09575185905874,0
14,2021-05-16 08:00:00,BUY,0.012693335828874,LTCUSDT,318.39,0,0,2021-05-16 16:00:00,301.8,2.4713241919613997,0,-68.5449644224741,0
15,2021-05-17 04:00:00,BUY,0.012008683550464541,LTCUSDT,269.16,0,0,2021-05-19 08:00:00,270.74,2.407578029095027,0,4.634609328097213,0
16,2021-05-19 12:00:00,BUY,0.012054033929672,LTCUSDT,242.12,0,0,2021-05-19 16:00:00,206.38,2.2318464003248,0,-179.9868286169576,0
17,2021-05-20 04:00:00,BUY,0.010254632985152,LTCUSDT,194.08,0,0,2021-05-21 08:00:00,202.01,2.0917590882623998,0,39.766195442252865,0
18,2021-05-21 16:00:00,BUY,0.010652823311998466,LTCUSDT,178.87,0,0,2021-05-23 12:00:00,147.64,1.9436912600930465,0,-187.7518112355399,0
19,2021-05-23 16:00:00,BUY,0.008775305199643067,LTCUSDT,135.85,0,0,2021-05-24 00:00:00,142.52,1.7972256549943066,0,41.244919930663286,0
20,2021-05-24 04:00:00,BUY,0.009187754398949699,LTCUSDT,151.42,0,0,2021-05-25 00:00:00,185.32,2.04212240267217,0,203.44817591945264,0
21,2021-05-25 20:00:00,BUY,0.011222236158144225,LTCUSDT,170.35,0,0,2021-05-27 08:00:00,189.03,2.3662611639330224,0,120.56989475605883,0
22,2021-05-27 12:00:00,BUY,0.012427310521227999,LTCUSDT,198.97,0,0,2021-05-28 00:00:00,194.31,2.4551429500399,0,-31.531566103617024,0
23,2021-05-28 08:00:00,BUY,0.012112619444668644,LTCUSDT,181.7,0,0,2021-05-28 16:00:00,179.54,2.4069278750168643,0,-16.791679847414343,0
24,2021-05-28 20:00:00,BUY,0.011941388522784,LTCUSDT,180.16,0,0,2021-05-30 20:00:00,173.92,2.3457648772160002,0,-43.6644533657377,0
25,2021-05-31 12:00:00,BUY,0.011508058112537124,LTCUSDT,181.93,0,0,2021-06-01 00:00:00,188.01,2.3388816508958126,0,36.08195254874545,0
26,2021-06-01 04:00:00,BUY,0.011868877631515,LTCUSDT,182.89,0,0,2021-06-01 12:00:00,181.79,2.3654571892982,0,-9.496906430946638,0
27,2021-06-02 04:00:00,BUY,0.011773908569952,LTCUSDT,182.24,0,0,2021-06-04 12:00:00,174.0,2.3004217109352,0,-55.48303390913998,0
28,2021-06-04 20:00:00,BUY,0.011217185564060001,LTCUSDT,177.8,0,0,2021-06-05 20:00:00,172.36,2.20802941819,0,-36.494005483783894,0
29,2021-06-06 00:00:00,BUY,0.010854138179785873,LTCUSDT,172.95,0,0,2021-06-08 00:00:00,161.92,2.100588463597787,0,-71.25434700500648,0
30,2021-06-08 16:00:00,BUY,0.010140926395553999,LTCUSDT,151.74,0,0,2021-06-09 12:00:00,162.27,2.0974737908628,0,68.20513060069288,0
31,2021-06-09 16:00:00,BUY,0.010823646015742736,LTCUSDT,168.57,0,0,2021-06-10 12:00:00,170.82,2.1780793294924736,0,12.254411616007928,0
32,2021-06-11 04:00:00,BUY,0.010944911961128,LTCUSDT,171.26,0,0,2021-06-17 20:00:00,164.06,2.141920038721,0,-48.10978234720824,0
33,2021-06-22 00:00:00,BUY,0.010458365581656,LTCUSDT,124.38,0,0,2021-06-22 04:00:00,131.48,2.1502672065511996,0,57.48965957161431,0
34,2021-06-22 12:00:00,BUY,0.011039988904146881,LTCUSDT,114.24,0,0,2021-06-22 16:00:00,118.21,2.2452209243704884,0,36.08192150715627,0
35,2021-06-23 04:00:00,BUY,0.011399922266444,LTCUSDT,128.69,0,0,2021-06-23 08:00:00,129.84,2.2890214757132004,0,7.887993175331076,0
36,2021-06-23 12:00:00,BUY,0.011479688050971756,LTCUSDT,128.62,0,0,2021-06-23 16:00:00,127.08,2.2810584639747757,0,-16.01223587845311,0
37,2021-06-24 12:00:00,BUY,0.011319565692187224,LTCUSDT,134.48,0,0,2021-06-24 16:00:00,133.61,2.2554654654539226,0,-9.57118187975766,0
38,2021-06-25 12:00:00,BUY,0.011223853873389648,LTCUSDT,129.62,0,0,2021-06-25 16:00:00,128.0,2.229634764618965,0,-16.24325943624467,0
39,2021-06-26 04:00:00,BUY,0.011061421279027202,LTCUSDT,126.64,0,0,2021-06-26 08:00:00,121.50999999999999,2.1664147323359204,0,-46.92979607395341,0
