,Time,Type,Volume,Symbol,Price,S/L,T/P,Time,Price,Commission,Swap,Profit,Comment
0,2021-04-24 04:00:00,Balance,0.0,0,0.0,0,0,0,0.0,0.0,0,1100.0,0
0,2021-04-24 04:00:00,BUY,0.010996011535029361,SOLUSDT,35.8404,0,0,2021-04-24 16:00:00,36.9958,2.233515499369008,0,33.17927801727001,0
1,2021-04-24 20:00:00,BUY,0.01132584431654478,SOLUSDT,42.0783,0,0,2021-04-26 16:00:00,46.863,2.392693036560498,0,126.26406464663592,0
2,2021-04-27 08:00:00,BUY,0.012593605805274998,SOLUSDT,45.65,0,0,2021-04-27 16:00:00,43.882,2.4687362157616,0,-51.1943209286344,0
3,2021-04-28 08:00:00,BUY,0.0120824902160883,SOLUSDT,42.453,0,0,2021-04-29 08:00:00,43.649,2.4492949469825858,0,31.555857839555983,0
4,2021-04-30 20:00:00,BUY,0.012398048795748275,SOLUSDT,43.741,0,0,2021-05-01 00:00:00,42.786,2.4513282855530676,0,-29.492997002565744,0
5,2021-05-01 08:00:00,BUY,0.0121014234725328,SOLUSDT,42.828,0,0,2021-05-02 12:00:00,46.651,2.52698871618467,0,105.3871753091787,0
6,2021-05-02 20:00:00,BUY,0.0131512226170402,SOLUSDT,47.881,0,0,2021-05-04 20:00:00,44.551,2.53755750443896,0,-93.90945421181505,0
7,2021-05-05 08:00:00,BUY,0.012217896036696254,SOLUSDT,44.5,0,0,2021-05-07 20:00:00,43.77,2.422334620161325,0,-22.445132194417056,0
8,2021-05-08 04:00:00,BUY,0.011993444714752083,SOLUSDT,43.533,0,0,2021-05-09 04:00:00,44.574,2.4261407155728483,0,26.224976378334077,0
9,2021-05-09 12:00:00,BUY,0.012255694474239999,SOLUSDT,44.8,0,0,2021-05-11 00:00:00,42.868,2.39711349527188,0,-55.196943623967854,0
10,2021-05-11 04:00:00,BUY,0.011703725041759998,SOLUSDT,40.4,0,0,2021-05-13 08:00:00,44.203,2.44963591600249,0,107.61164423866353,0
11,2021-05-13 12:00:00,BUY,0.012771234494073,SOLUSDT,41.547,0,0,2021-05-13 16:00:00,41.419,2.5490390863436496,0,-6.479728107886558,0
12,2021-05-13 20:00:00,BUY,0.012715044203603518,SOLUSDT,39.108,0,0,2021-05-14 20:00:00,43.149,2.6729895411005518,0,128.57921525910797,0
13,2021-05-15 08:00:00,BUY,0.013994316997646994,SOLUSDT,40.785,0,0,2021-05-15 12:00:00,41.191,2.8113808756737,0,11.105526968391587,0
14,2021-05-16 00:00:00,BUY,0.014104103243997,SOLUSDT,43.462,0,0,2021-05-16 16:00:00,48.461,2.98147343344128,0,159.0817215328384,0
15,2021-05-16 20:00:00,BUY,0.0156983923387682,SOLUSDT,43.642,0,0,2021-05-19 08:00:00,50.871,3.3978817701140898,0,256.3752598242129,0
16,2021-05-19 12:00:00,BUY,0.0182556600094267,SOLUSDT,43.943,0,0,2021-05-19 16:00:00,46.331,3.7484141929376102,0,95.35934286027486,0
17,2021-05-19 20:00:00,BUY,0.0192111168360678,SOLUSDT,40.838,0,0,2021-05-21 04:00:00,45.447,4.05690319926063,0,212.54404053141616,0
18,2021-05-21 16:00:00,BUY,0.0213379796608704,SOLUSDT,36.909,0,0,2021-05-25 00:00:00,31.42,3.9484471889142405,0,-320.96339248266736,0
19,2021-05-26 00:00:00,BUY,0.017891606297712002,SOLUSDT,29.985,0,0,2021-05-26 16:00:00,34.292972224878426,3.83332538377425,0,252.95995947784695,0
