,Time,Type,Volume,Symbol,Price,S/L,T/P,Time,Price,Commission,Swap,Profit,Comment
0.0,2021-04-24 04:00:00,Balance,0.0,0,0.0,0,0,0,0.0,0.0,0,1100.0,0
0.0,2021-04-24 04:00:00,BUY,0.010999999999995614,TRXUSDT,0.10882,0,0,2021-04-24 20:00:00,0.1063,2.173452214665477,0,-27.62123754831123,0
1.0,2021-04-26 12:00:00,BUY,0.010723787624516888,TRXUSDT,0.11397,0,0,2021-04-26 20:00:00,0.11702999999999998,2.1724488342520303,0,26.591239276852093,0
2.0,2021-04-27 08:00:00,BUY,0.010989700017285409,TRXUSDT,0.12365,0,0,2021-04-27 20:00:00,0.12356,2.196041936060742,0,-2.9951393306721457,0
3.0,2021-04-28 16:00:00,BUY,0.010959748623978686,TRXUSDT,0.1204,0,0,2021-05-06 20:00:00,0.14842,2.445658620603587,0,252.35921204964347,0
4.0,2021-05-07 04:00:00,BUY,0.013481612664902888,TRXUSDT,0.15603,0,0,2021-05-08 04:00:00,0.14993,2.64232065164914,0,-55.29604071659651,0
5.0,2021-05-08 12:00:00,BUY,0.012929519287795515,TRXUSDT,0.15016,0,0,2021-05-09 20:00:00,0.14002,2.4973877967775957,0,-89.72049664950555,0
6.0,2021-05-10 16:00:00,BUY,0.012033175370813618,TRXUSDT,0.14243,0,0,2021-05-11 00:00:00,0.12711,2.2761304167148615,0,-131.57747032749535,0
7.0,2021-05-11 12:00:00,BUY,0.01071575840571075,TRXUSDT,0.1305,0,0,2021-05-13 04:00:00,0.12128,2.0664475434566336,0,-77.69900938840226,0
8.0,2021-05-13 08:00:00,BUY,0.009940410573655127,TRXUSDT,0.12438,0,0,2021-05-14 20:00:00,0.12405,1.984453361377326,0,-4.619165657711051,0
9.0,2021-05-15 00:00:00,BUY,0.009894218917078016,TRXUSDT,0.12474,0,0,2021-05-15 16:00:00,0.12389,1.971119011200815,0,-8.706469334281223,0
