,Time,Type,Volume,Symbol,Price,S/L,T/P,Time,Price,Commission,Swap,Profit,Comment
0.0,2021-04-25 12:00:00,Balance,0.0,0,0.0,0,0,0,0.0,0.0,0,1087.724588719242,0
0.0,2021-04-25 12:00:00,BUY,0.009796663235275,BTCUSDT,49624.087202375675,0,0,2021-05-13 04:00:00,50668.679073881955,1.9789540122226,0,18.62207747890477,0
1.0,2021-05-13 16:00:00,BUY,0.00962403814775,BTCUSDT,49627.63,0,0,2021-05-13 20:00:00,48569.97,1.9033551862817002,0,-22.393394639806615,0
2.0,2021-05-14 04:00:00,BUY,0.009423459118944,BTCUSDT,49157.94,0,0,2021-05-14 08:00:00,49987.19,1.8996300928365,0,13.980984866757922,0
3.0,2021-05-14 12:00:00,BUY,0.009543054442144,BTCUSDT,50538.13,0,0,2021-05-14 16:00:00,51211.98,1.9203682349344002,0,10.79128371487991,0
4.0,2021-05-17 16:00:00,BUY,0.0094527451684,BTCUSDT,43357.0,0,0,2021-05-18 00:00:00,43538.02,1.8935465246063998,0,2.049218918633528,0
5.0,2021-05-18 04:00:00,BUY,0.009464752690124,BTCUSDT,44774.78,0,0,2021-05-19 12:00:00,38700.0,1.7637201970124,0,-130.04758594039993,0
6.0,2021-05-21 00:00:00,BUY,0.008172082679826,BTCUSDT,40525.39,0,0,2021-05-21 08:00:00,39842.58,1.6198438153212,0,-15.375356191338483,0
7.0,2021-05-22 08:00:00,BUY,0.007913892760488001,BTCUSDT,36266.36,0,0,2021-05-23 04:00:00,37421.59,1.6071709568672001,0,23.576623088781503,0
8.0,2021-05-23 16:00:00,BUY,0.008034148070455998,BTCUSDT,33316.42,0,0,2021-05-23 20:00:00,33047.33,1.5995438237237,0,-8.081919384178036,0
9.0,2021-05-24 04:00:00,BUY,0.007950506478912,BTCUSDT,35250.56,0,0,2021-05-25 00:00:00,38804.31603429567,1.6693782435243,0,78.40262014626683,0
10.0,2021-05-26 00:00:00,BUY,0.008698246338344,BTCUSDT,38296.85668383622,0,0,2021-05-28 16:00:00,36830.98474947531,1.7055189411803,0,-34.966020795846134,0
11.0,2021-05-28 20:00:00,BUY,0.00811196921529,BTCUSDT,35789.31,0,0,2021-05-29 16:00:00,34416.26,1.5904922124488,0,-32.680925900119746,0
12.0,2021-05-31 20:00:00,BUY,0.007961110480547,BTCUSDT,36791.34766276745,0,0,2021-06-08 04:00:00,32817.09,1.5055148008756998,0,-87.41669898652094,0
13.0,2021-06-09 16:00:00,BUY,0.007077671520931999,BTCUSDT,36356.42,0,0,2021-06-10 08:00:00,36962.12,1.4266064618532002,0,10.353318357040166,0
14.0,2021-06-10 12:00:00,BUY,0.007388198283032998,BTCUSDT,37777.20882102274,0,0,2021-06-18 20:00:00,35453.24106370597,1.4314956798309,0,-46.836652627227295,0
15.0,2021-06-24 12:00:00,BUY,0.006848266674849999,BTCUSDT,33850.78,0,0,2021-06-25 16:00:00,32607.069999999996,1.3438325078614,0,-26.479832948976423,0
16.0,2021-06-25 20:00:00,BUY,0.006858637884076999,BTCUSDT,32269.62573010177,0,0,2021-07-08 08:00:00,32487.56,1.3756689011317,0,3.2515192035760947,0
17.0,2021-07-10 04:00:00,BUY,0.007338381396720001,BTCUSDT,33756.86566321342,0,0,2021-07-15 20:00:00,31538.92,1.4187751730959999,0,-49.58604328142417,0
18.0,2021-07-21 16:00:00,BUY,0.007071639979254,BTCUSDT,31974.48412635628,0,0,2021-07-25 16:00:00,34174.08,1.4622194493366,0,47.13639803438866,0
19.0,2021-07-25 20:00:00,BUY,0.007553054500656,BTCUSDT,34353.24,0,0,2021-07-26 04:00:00,38283.97,1.5961917949321,0,84.74000845603359,0
20.0,2021-07-26 08:00:00,BUY,0.008226305233694,BTCUSDT,38149.99,0,0,2021-08-02 20:00:00,39234.53711636144,1.6678013046615,0,21.695087141407953,0
21.0,2021-08-06 16:00:00,BUY,0.008581440938810001,BTCUSDT,42261.38730396447,0,0,2021-08-12 20:00:00,44371.8,1.7582402558569998,0,41.05197193302388,0
22.0,2021-08-13 20:00:00,BUY,0.00913727139889,BTCUSDT,46453.6552449586,0,0,2021-08-19 04:00:00,44046.97,1.7792492194496,0,-49.070582407960615,0
23.0,2021-08-20 16:00:00,BUY,0.00865866895902,BTCUSDT,48718.38,0,0,2021-08-26 08:00:00,46891.75,1.6984360130795002,0,-34.130347841677576,0
24.0,2021-08-28 00:00:00,BUY,0.008494239637902001,BTCUSDT,49053.80137699041,0,0,2021-09-07 16:00:00,46656.07,1.6565207868704,0,-43.13423753308041,0
25.0,2021-09-08 04:00:00,BUY,0.0080758200936,BTCUSDT,46450.4,0,0,2021-09-10 16:00:00,45420.86,1.5964746704786001,0,-19.478240902518678,0
26.0,2021-09-11 00:00:00,BUY,0.007896123987179999,BTCUSDT,44842.2,0,0,2021-09-11 04:00:00,45191.89,1.5845865510591999,0,4.566779470858819,0
27.0,2021-09-14 08:00:00,BUY,0.007959742922925,BTCUSDT,45720.03,0,0,2021-09-17 00:00:00,47737.81,1.6262465146679,0,33.46765786052447,0
28.0,2021-09-17 04:00:00,BUY,0.008260546022718,BTCUSDT,47899.83,0,0,2021-09-20 04:00:00,45542.75,1.6106751186768,0,-42.21870638320502,0
29.0,2021-09-24 20:00:00,BUY,0.007763212898883,BTCUSDT,42371.43,0,0,2021-09-27 20:00:00,43011.82,1.5635872770219001,0,10.157431258166412,0
