,Time,Type,Volume,Symbol,Price,S/L,T/P,Time,Price,Commission,Swap,Profit,Comment
0,2021-04-24 04:00:00,Balance,0.0,0,0.0,0,0,0,0.0,0.0,0,1100.0,0
0,2021-04-24 04:00:00,BUY,0.00566690137784934,ETCUSDT,31.703852219683647,0,0,2021-04-25 04:00:00,29.344,1.0906746154796538,0,-43.22964456790862,0
1,2021-04-26 20:00:00,BUY,0.005268903764176,ETCUSDT,32.552,0,0,2021-04-27 12:00:00,33.667,1.07128333162016,0,16.95818582975744,0
2,2021-04-27 16:00:00,BUY,0.005353764410447,ETCUSDT,33.463,0,0,2021-04-27 20:00:00,33.372,1.0687630476149,0,-2.5232210810702327,0
3,2021-04-28 20:00:00,BUY,0.0053408888691825005,ETCUSDT,34.575,0,0,2021-04-29 04:00:00,34.446,1.0656529814545501,0,-3.0563564764863713,0
4,2021-04-29 12:00:00,BUY,0.00532044936612,ETCUSDT,34.59,0,0,2021-05-01 20:00:00,42.8082505046378,1.18984016669428,0,125.09249824019764,0
5,2021-05-02 04:00:00,BUY,0.0059200268669784,ETCUSDT,42.856,0,0,2021-05-02 08:00:00,44.184,1.20173970533376,0,17.124594919444007,0
6,2021-05-02 16:00:00,BUY,0.006000393180459,ETCUSDT,44.718,0,0,2021-05-03 16:00:00,49.04394025530895,1.25746729250268,0,56.73122843642318,0
7,2021-05-04 00:00:00,BUY,0.006295343180782499,ETCUSDT,52.065,0,0,2021-05-04 04:00:00,50.826,1.24347294388749,0,-16.20963089481927,0
8,2021-05-04 16:00:00,BUY,0.0062001010108208,ETCUSDT,58.334,0,0,2021-05-05 04:00:00,75.3570249570359,1.42015057761225,0,179.33023497155966,0
9,2021-05-05 12:00:00,BUY,0.007007864274093,ETCUSDT,73.73,0,0,2021-05-06 04:00:00,95.1158421742921,1.6039362349631503,0,201.460230336996,0
10,2021-05-06 08:00:00,BUY,0.0078706267060347,ETCUSDT,94.041,0,0,2021-05-06 20:00:00,143.67624122815826,1.9883379002606,0,413.01128382400293,0
11,2021-05-07 00:00:00,BUY,0.0097965566178692,ETCUSDT,133.6304451811231,0,0,2021-05-07 12:00:00,138.2980014037153,1.9925156841418803,0,32.191500545685244,0
12,2021-05-07 16:00:00,BUY,0.0108312006890786,ETCUSDT,128.97098808427316,0,0,2021-05-09 20:00:00,117.57284277374906,2.06952919801316,0,-97.69734893166537,0
13,2021-05-10 00:00:00,BUY,0.009090230704829401,ETCUSDT,117.906,0,0,2021-05-10 04:00:00,123.62,1.86114644540034,0,42.14818105954271,0
14,2021-05-10 08:00:00,BUY,0.009479912400010001,ETCUSDT,123.77614520073004,0,0,2021-05-10 16:00:00,121.789,1.8798303273565802,0,-17.083991732775644,0
15,2021-05-10 20:00:00,BUY,0.011606633928569601,ETCUSDT,98.17930401217124,0,0,2021-05-15 16:00:00,101.67856271664108,2.361492550564308,0,38.964935692692734,0
16,2021-05-16 04:00:00,BUY,0.009041350611278,ETCUSDT,99.31,0,0,2021-05-16 12:00:00,100.216,1.8156061162131598,0,6.424522902474564,0
17,2021-05-16 20:00:00,BUY,0.0090634687203632,ETCUSDT,90.497,0,0,2021-05-17 00:00:00,93.874,1.8455749558182202,0,31.941983661798076,0
18,2021-05-17 04:00:00,BUY,0.009505352258143501,ETCUSDT,83.68343118729028,0,0,2021-05-18 16:00:00,87.8517223240384,1.9474189505598998,0,45.351615206454426,0
19,2021-05-18 20:00:00,BUY,0.0093103933885879,ETCUSDT,87.929,0,0,2021-05-19 00:00:00,88.575,1.86798099172654,0,4.965372356092075,0
20,2021-05-19 04:00:00,BUY,0.009309748913723999,ETCUSDT,80.796,0,0,2021-05-19 08:00:00,76.975,1.8170352217333998,0,-45.800621341760916,0
21,2021-05-19 12:00:00,BUY,0.0090562009436358,ETCUSDT,67.811,0,0,2021-05-19 16:00:00,68.134,1.8146439400240533,0,2.494727451239555,0
22,2021-05-20 04:00:00,BUY,0.0090312345467949,ETCUSDT,61.391,0,0,2021-05-20 08:00:00,69.463,1.9239722908180599,0,116.70453262294143,0
23,2021-05-20 16:00:00,BUY,0.0094897211183225,ETCUSDT,72.431,0,0,2021-05-20 20:00:00,71.46,1.88428618402685,0,-14.593353709844791,0
24,2021-05-22 04:00:00,BUY,0.0105211487729198,ETCUSDT,59.20693826016819,0,0,2021-05-23 16:00:00,48.20742074819765,1.90791026722439,0,-197.17528274950246,0
25,2021-05-24 04:00:00,BUY,0.0102510868380061,ETCUSDT,54.183817947536184,0,0,2021-05-28 08:00:00,71.50735438946761,2.3766101075945203,0,325.0412385695063,0
26,2021-05-28 12:00:00,BUY,0.0095262268845322,ETCUSDT,64.586,0,0,2021-05-28 16:00:00,70.814,1.9960618869266198,0,89.7730708217066,0
27,2021-05-29 00:00:00,BUY,0.0100257132455431,ETCUSDT,68.20433206608745,0,0,2021-05-29 12:00:00,66.61278108972644,1.9807684282298,0,-25.352417982495353,0
28,2021-05-29 16:00:00,BUY,0.0100320855791586,ETCUSDT,63.020618679572785,0,0,2021-05-31 00:00:00,66.18678221169957,2.05576482603881,0,48.29515393896713,0
29,2021-05-31 04:00:00,BUY,0.0099226992566798,ETCUSDT,63.022,0,0,2021-05-31 12:00:00,67.55478263015937,2.05484405139668,0,69.24162593499136,0
30,2021-05-31 16:00:00,BUY,0.0102029557647626,ETCUSDT,68.089,0,0,2021-06-01 00:00:00,70.018,2.06844750396906,0,26.808199089047207,0
31,2021-06-01 12:00:00,BUY,0.0104397137322002,ETCUSDT,67.57388688964761,0,0,2021-06-02 12:00:00,67.65973549206487,2.08822375236854,0,-0.763246450648694,0
32,2021-06-02 16:00:00,BUY,0.011097464955443101,ETCUSDT,69.19269810304785,0,0,2021-06-04 16:00:00,64.14795474286598,2.13755408160913,0,-82.96671706555503,0
33,2021-06-04 20:00:00,BUY,0.0102252709570602,ETCUSDT,65.1387408448354,0,0,2021-06-08 00:00:00,58.105200756875504,1.9337318144733,0,-112.23358165750722,0
34,2021-06-08 16:00:00,BUY,0.0098790129568522,ETCUSDT,52.44347310824297,0,0,2021-06-10 00:00:00,61.861658320245056,2.152051867272374,0,175.08512533035264,0
35,2021-06-11 04:00:00,BUY,0.010799030302500703,ETCUSDT,58.01509962481232,0,0,2021-06-12 12:00:00,54.9695476720921,2.1020924207821,0,-58.735829108572375,0
36,2021-06-12 16:00:00,BUY,0.0100223196067995,ETCUSDT,55.055,0,0,2021-06-13 00:00:00,55.221,2.00648056361664,0,1.0123936538032012,0
37,2021-06-14 00:00:00,BUY,0.0100253963372481,ETCUSDT,58.999,0,0,2021-06-14 04:00:00,57.909,1.9855734410682002,0,-20.48886018876317,0
38,2021-06-14 12:00:00,BUY,0.009942014852734599,ETCUSDT,57.037,0,0,2021-06-14 16:00:00,59.35600000000001,2.02779041044402,0,38.353850971929546,0
39,2021-06-14 20:00:00,BUY,0.0102185884517957,ETCUSDT,58.220564639370046,0,0,2021-06-16 12:00:00,56.21495971052374,2.00752963718475,0,-37.173723966395414,0
40,2021-06-21 20:00:00,BUY,0.011338822464951102,ETCUSDT,42.512430954483584,0,0,2021-06-23 16:00:00,39.781584511133154,2.1938669091476495,0,-74.95756850522298,0
41,2021-06-23 20:00:00,BUY,0.009549482850923401,ETCUSDT,38.357,0,0,2021-06-24 08:00:00,40.97916547212471,1.97415861994696,0,63.24283942742545,0
42,2021-06-25 12:00:00,BUY,0.0103464109051043,ETCUSDT,40.53299260931898,0,0,2021-06-27 08:00:00,40.69277160018747,2.0723219638446198,0,2.00210195042564,0
43,2021-06-27 16:00:00,BUY,0.0099902565970564,ETCUSDT,40.138,0,0,2021-06-27 20:00:00,39.801,1.98867282858565,0,-10.368137994509993,0
44,2021-06-28 00:00:00,BUY,0.0102537851589478,ETCUSDT,42.287424933516924,0,0,2021-06-30 04:00:00,56.25596566598938,2.388099821476744,0,335.9800683816079,0
45,2021-06-30 08:00:00,BUY,0.01126038280815,ETCUSDT,60.900000000000006,0,0,2021-06-30 12:00:00,58.491,2.2064527635264,0,-46.70421258631154,0
46,2021-06-30 16:00:00,BUY,0.011049165031564001,ETCUSDT,53.435,0,0,2021-06-30 20:00:00,55.625,2.25396711605015,0,42.98505912445626,0
