,Time,Type,Volume,Symbol,Price,S/L,T/P,Time,Price,Commission,Swap,Profit,Comment
0.0,2021-04-24 04:00:00,Balance,0.0,0,0.0,0,0,0,0.0,0.0,0,1100.0,0
0.0,2021-04-24 04:00:00,BUY,0.0036880639943438483,FTMUSDT,0.3060416838750007,0,0,2021-04-25 00:00:00,0.27868,0.7043037968028769,0,-33.644499463261354,0
1.0,2021-04-25 04:00:00,BUY,0.0034028490690376505,FTMUSDT,0.28326,0,0,2021-04-26 00:00:00,0.30542487764916365,0.7068299347266854,0,25.89357589133249,0
2.0,2021-04-26 04:00:00,BUY,0.0034789905325044823,FTMUSDT,0.33578,0,0,2021-04-26 08:00:00,0.3501,0.7102722115229931,0,14.111731863824275,0
3.0,2021-04-26 12:00:00,BUY,0.0037957612446853682,FTMUSDT,0.3928742557130754,0,0,2021-04-28 08:00:00,0.4811302866464411,0.8439561171666907,0,84.33948823691895,0
4.0,2021-04-28 16:00:00,BUY,0.0038745070252599657,FTMUSDT,0.5210297219544018,0,0,2021-04-29 20:00:00,0.6048737364344111,0.8368001071812013,0,61.44935272455291,0
5.0,2021-04-30 08:00:00,BUY,0.004091690373452142,FTMUSDT,0.6868893595531309,0,0,2021-05-01 04:00:00,0.7539525833891856,0.8578374501131052,0,39.05070700990905,0
6.0,2021-05-01 16:00:00,BUY,0.004030616581580886,FTMUSDT,0.77286,0,0,2021-05-02 16:00:00,0.7919924541578393,0.8156882270415717,0,9.15228415651103,0
7.0,2021-05-03 04:00:00,BUY,0.0040557685722227,FTMUSDT,0.769,0,0,2021-05-03 08:00:00,0.77893,0.8159800632207717,0,4.415945570233191,0
8.0,2021-05-04 04:00:00,BUY,0.004065740736002064,FTMUSDT,0.65464,0,0,2021-05-04 08:00:00,0.69052,0.8350031060080791,0,21.42652977525853,0
9.0,2021-05-04 16:00:00,BUY,0.00456844463929866,FTMUSDT,0.6542631552741317,0,0,2021-05-07 04:00:00,0.7126871660382685,0.9539863196358642,0,39.80024992042638,0
10.0,2021-05-07 12:00:00,BUY,0.004213450469273985,FTMUSDT,0.72421,0,0,2021-05-08 04:00:00,0.8063653536186971,0.8900188980329641,0,46.86013032706148,0
11.0,2021-05-08 08:00:00,BUY,0.004786753897982529,FTMUSDT,0.8851983179700055,0,0,2021-05-10 12:00:00,0.84186849552217,0.933464718189481,0,-24.340850735416097,0
12.0,2021-05-10 20:00:00,BUY,0.004251090787707192,FTMUSDT,0.75786,0,0,2021-05-11 00:00:00,0.77104,0.8571787591764471,0,6.528531954603011,0
13.0,2021-05-11 04:00:00,BUY,0.004390820858948289,FTMUSDT,0.7382382514772737,0,0,2021-05-12 16:00:00,0.7273849764325242,0.8712763407326491,0,-7.32002531184645,0
14.0,2021-05-12 20:00:00,BUY,0.005308948916455923,FTMUSDT,0.6819897538746326,0,0,2021-05-15 12:00:00,0.6633906514753671,1.0467948964821086,0,-15.510786813912546,0
15.0,2021-05-16 00:00:00,BUY,0.004205361929312199,FTMUSDT,0.61406,0,0,2021-05-16 20:00:00,0.617952512172399,0.8433149531267158,0,1.819788504080634,0
16.0,2021-05-17 00:00:00,BUY,0.004846710570240533,FTMUSDT,0.6230572471461583,0,0,2021-05-19 04:00:00,0.6865567282738333,1.0182037661744525,0,48.328119417195296,0
17.0,2021-05-19 08:00:00,BUY,0.007779529948354639,FTMUSDT,0.47132147659368884,0,0,2021-05-25 00:00:00,0.33677720687711293,1.3332742624691811,0,-223.18704846937987,0
18.0,2021-05-25 20:00:00,BUY,0.003513521503556576,FTMUSDT,0.29648,0,0,2021-05-26 16:00:00,0.35264412798190586,0.7688453047131769,0,65.72351084750414,0
19.0,2021-05-26 20:00:00,BUY,0.0041227065767127985,FTMUSDT,0.35395764328620016,0,0,2021-05-28 04:00:00,0.3438048360211004,0.8123154310986251,0,-12.625929017361898,0
