,Time,Type,Volume,Symbol,Price,S/L,T/P,Time,Price,Commission,Swap,Profit,Comment
0.0,2021-04-24 04:00:00,Balance,0.0,0,0.0,0,0,0,0.0,0.0,0,1100.0,0
0.0,2021-04-24 04:00:00,BUY,0.006299897843607896,TRXUSDT,0.10881999999999999,0,0,2021-04-24 20:00:00,0.1063,1.2447751745779496,0,-15.81917953384675,0
1.0,2021-04-26 12:00:00,BUY,0.0061617837727628855,TRXUSDT,0.11397,0,0,2021-04-26 20:00:00,0.11703,1.2482679108124124,0,15.279066726299334,0
2.0,2021-04-27 08:00:00,BUY,0.0062413419413017285,TRXUSDT,0.12364999999999998,0,0,2021-04-27 20:00:00,0.12356,1.2471904254740243,0,-1.7010190176654305,0
3.0,2021-04-28 16:00:00,BUY,0.006654252021687911,TRXUSDT,0.12077411486744132,0,0,2021-05-06 20:00:00,0.14649579468650611,1.4717611617345154,0,140.10442143736725,0
4.0,2021-05-07 04:00:00,BUY,0.007074303789002079,TRXUSDT,0.1559290592867122,0,0,2021-05-08 04:00:00,0.14993,1.3869635727554204,0,-28.57671823885073,0
5.0,2021-05-08 12:00:00,BUY,0.0069427421346687414,TRXUSDT,0.1500074328385013,0,0,2021-05-09 20:00:00,0.14002,1.341675887214075,0,-47.51994139342071,0
6.0,2021-05-10 16:00:00,BUY,0.006835247669844555,TRXUSDT,0.1419311192093212,0,0,2021-05-11 00:00:00,0.12711,1.2950604948910074,0,-72.60057480581008,0
7.0,2021-05-11 12:00:00,BUY,0.006690295845453617,TRXUSDT,0.13022803448913,0,0,2021-05-13 04:00:00,0.12216078272776565,1.2959871275864892,0,-42.69899904727515,0
8.0,2021-05-13 08:00:00,BUY,0.006031218273170847,TRXUSDT,0.12428543668263686,0,0,2021-05-14 20:00:00,0.12408207725826652,1.2046546742840194,0,-2.1905131971169567,0
9.0,2021-05-15 00:00:00,BUY,0.005897652104250523,TRXUSDT,0.12474000000000002,0,0,2021-05-15 16:00:00,0.12389,1.1749259119442863,0,-5.189669607337464,0
10.0,2021-05-16 08:00:00,BUY,0.006074323803350757,TRXUSDT,0.1276985223767659,0,0,2021-05-17 00:00:00,0.11963,1.1759156107803799,0,-39.517633120216715,0
