Time;Type;Volume;Symbol;Price;S/L;T/P;Time;Price;Commission;Swap;Profit;Comment
2022.04.08 03:55:58;Buy;1.00;EURJPY.pro;134.489;134.120;135.500;2022.04.08 11:09:06;134.935;;;359.54;
2022.04.08 00:05:19;Buy;25.13;NZDCAD.pro;0.87009;0.86500;0.87500;2022.04.08 10:12:35;0.86499;;;-10 181.44;[sl]
2022.04.05 12:32:12;Sell Stop;37.03;GBPCHF.pro;1.21100;1.21600;1.20600;2022.04.07 16:42:00;1.21949;;;;expiration
2022.04.06 09:08:15;Buy;35.68;USDCAD.pro;1.25105;1.24400;1.25800;2022.04.07 15:54:42;1.25706;;-51.25;17 058.60;
2022.04.05 07:30:31;Sell Stop;24.50;GBPJPY.pro;160.200;161.200;159.200;2022.04.07 11:41:00;161.886;;;;expiration
2022.04.05 07:23:03;Sell Stop;24.50;CADJPY.pro;97.500;98.500;96.500;2022.04.07 11:33:00;98.460;;;;expiration
2022.04.04 01:15:47;Sell Stop;24.50;NZDJPY.pro;84.400;85.400;83.400;2022.04.06 05:26:00;86.028;;;;expiration
2022.04.05 12:25:52;Sell Stop;33.66;GBPCHF.pro;1.21100;1.21600;1.20600;2022.04.05 12:32:37;1.21572;;;;cancelled
2022.04.05 10:02:39;Sell;1.00;AUDUSD.pro;0.76236;0.76350;;2022.04.05 10:19:10;0.76350;;;-114.00;[sl]
2022.04.05 07:33:21;Sell;100.00;AUDUSD.pro;0.75802;0.76250;0.75000;2022.04.05 09:54:03;0.76251;;;-44 900.00;[sl]
2022.04.04 01:06:46;Sell Stop;1.00;NZDJPY.pro;84.400;85.400;83.400;2022.04.04 01:15:55;84.788;;;;cancelled
2022.03.29 15:37:24;Buy;10.00;XAUUSD.pro;1 891.97;;;2022.03.31 20:30:37;1 947.55;;-153.96;55 580.00;
2022.03.24 08:34:55;Sell;1.00;NZDCHF.pro;0.64850;0.65150;0.64450;2022.03.28 11:39:01;0.65154;;-9.58;-324.20;[sl]
2022.03.24 14:28:04;Buy Stop;1.00;EURCAD.pro;1.38400;1.37850;1.38950;2022.03.26 18:45:00;1.37072;;;;expiration
2022.03.24 07:13:12;Sell Stop;1.00;CADJPY.pro;96.050;96.550;95.550;2022.03.26 18:40:00;97.833;;;;expiration
2022.03.25 18:51:35;Buy;1.00;GBPAUD.pro;1.75804;1.75250;1.76400;2022.03.25 21:59:51;1.75250;;;-416.64;[sl]
2022.03.23 04:14:01;Sell Stop;1.00;CADCHF.pro;0.73850;0.74500;0.73150;2022.03.25 09:40:00;0.74028;;;;expiration
2022.03.24 17:24:03;Sell Stop;1.00;NZDUSD.pro;0.69380;0.69780;0.68980;2022.03.25 04:52:59;0.69737;;;;cancelled
2022.03.24 07:28:36;Sell;1.00;NZDCHF.pro;0.64788;0.65150;0.64400;2022.03.24 07:35:15;0.64844;;;-60.06;
2022.03.22 06:13:54;Buy Stop;1.00;GBPAUD.pro;1.78400;1.77550;1.79700;2022.03.24 07:35:02;1.76486;;;;cancelled
2022.03.24 07:25:35;Buy Limit;1.00;GBPAUD.pro;1.76300;;1.77250;2022.03.24 07:27:35;1.76395;;;;cancelled
2022.03.21 06:17:23;Sell Stop;1.00;EURJPY.pro;131.100;131.800;130.400;2022.03.23 10:28:00;133.465;;;;expiration
2022.03.23 04:12:27;Sell Stop;49.00;CADCHF.pro;0.73550;0.74400;0.72950;2022.03.23 04:14:11;0.74199;;;;cancelled
2022.03.23 04:03:36;Buy Stop;49.00;AUDUSD.pro;0.74750;0.74550;0.75150;2022.03.23 04:04:50;0.74589;;;;cancelled
2022.03.22 15:51:21;Buy;1.00;EURAUD.pro;1.48198;1.47800;1.49400;2022.03.22 21:59:08;1.47800;;;-296.73;[sl]
2022.03.22 15:51:21;Buy;49.00;EURAUD.pro;1.48198;1.47800;1.49400;2022.03.22 17:02:00;1.48238;;;1 459.37;to #46662276
2022.03.22 15:20:01;Sell;50.00;EURJPY.pro;133.252;;;2022.03.22 15:46:47;133.109;;;5 926.18;
2022.03.22 06:22:16;Buy Stop;1.00;EURAUD.pro;1.50000;1.48850;1.51150;2022.03.22 15:38:24;1.48351;;;;cancelled
2022.03.21 06:18:16;Buy Stop;1.00;GBPCAD.pro;1.66500;1.65500;1.67500;2022.03.22 14:34:45;1.66340;;;;cancelled
2022.03.21 15:17:24;Sell;1.00;AUDNZD.pro;1.07330;1.07700;1.07030;2022.03.22 13:59:43;1.07030;;-4.39;208.22;[tp]
2022.03.22 11:59:25;Buy;1.00;USDCAD.pro;1.26220;1.25820;1.26680;2022.03.22 13:43:16;1.25818;;;-319.51;[sl]
2022.03.21 08:05:56;Sell;1.00;NZDUSD.pro;0.68998;0.69300;0.68570;2022.03.22 13:32:15;0.69302;;-2.93;-304.00;[sl]
2022.03.22 03:43:35;Buy;1.00;GBPCHF.pro;1.23050;1.22600;1.23500;2022.03.22 12:52:46;1.23502;;;482.62;[tp]
2022.03.22 04:59:07;Sell Stop;1.00;AUDCHF.pro;0.68520;0.69410;0.67310;2022.03.22 05:06:14;0.69021;;;;cancelled
2022.03.22 04:48:35;Sell Stop;1.00;CADCHF.pro;0.73550;0.74370;0.72000;2022.03.22 04:53:17;0.74237;;;;cancelled
2022.03.22 04:37:42;Buy Stop;1.00;NZDCAD.pro;0.87100;0.85350;0.89150;2022.03.22 04:41:44;0.86547;;;;cancelled
2022.03.21 17:29:30;Buy Stop;1.00;EURCAD.pro;1.39560;1.38970;1.40480;2022.03.21 17:35:39;1.38993;;;;cancelled
2022.03.21 14:17:50;Buy;1.00;GBPCHF.pro;1.22309;1.22000;1.22600;2022.03.21 14:23:12;1.22219;;;-96.69;
2022.03.16 09:30:22;Buy Stop;1.00;GBPUSD.pro;1.32650;1.31650;1.33650;2022.03.21 13:41:00;1.31465;;;;expiration
2022.03.21 12:06:01;Buy Stop;1.00;AUDNZD.pro;1.07438;1.06860;1.08010;2022.03.21 12:25:40;1.07224;;;;cancelled
2022.03.21 11:34:58;Buy Limit;1.00;GBPCHF.pro;1.22500;;1.23000;2022.03.21 11:42:35;1.22671;;;;cancelled
2022.03.21 10:24:55;Sell;1.00;AUDUSD.pro;0.73927;0.74250;0.73210;2022.03.21 11:03:55;0.74002;;;-75.00;
2022.03.21 08:09:45;Sell Stop;1.00;USDCAD.pro;1.25970;1.26830;1.25110;2022.03.21 09:54:50;1.26109;;;;cancelled
2022.03.16 10:08:45;Sell Stop;1.00;EURJPY.pro;129.000;129.400;128.600;2022.03.19 14:19:00;131.656;;;;expiration
2022.03.11 15:09:48;Buy;1.00;USDCAD.pro;1.27550;1.25750;1.28050;2022.03.17 16:09:32;1.26679;;-7.37;-687.56;from #46641175
2022.03.16 14:09:21;Sell;1.00;AUDUSD.pro;0.72453;;0.71900;2022.03.17 16:09:28;0.73382;;-9.30;-929.00;
2022.03.16 09:42:23;Buy Limit;1.00;USDCHF.pro;0.93600;0.93300;0.94000;2022.03.17 13:53:00;0.94021;;;;expiration
2022.03.17 03:30:13;Sell;1.00;AUDNZD.pro;1.06809;1.07100;1.06200;2022.03.17 12:43:04;1.07100;;;-199.17;[sl]
2022.03.14 15:34:05;Sell;1.00;GBPJPY.pro;154.005;154.500;153.000;2022.03.15 08:17:43;154.501;;-4.60;-418.90;[sl]
2022.03.14 12:42:37;Sell;1.00;AUDJPY.pro;85.504;86.150;84.850;2022.03.15 04:53:55;84.840;;-1.61;561.00;[tp]
2022.03.14 16:14:06;Sell;9.00;USDCHF.pro;0.93502;0.93800;0.93200;2022.03.14 16:18:48;0.93568;;;-634.83;
2022.03.11 15:09:48;Buy;9.00;USDCAD.pro;1.27550;1.25750;1.29650;2022.03.14 14:07:12;1.27542;;-16.60;-56.45;to #46643391
2022.03.11 23:56:28;Buy;1.00;USDCAD.pro;1.27550;1.25750;1.29650;2022.03.14 08:25:30;1.27747;;-1.84;154.21;
2022.03.11 10:11:28;Sell Limit;50.00;EURUSD.pro;1.10630;1.12630;1.07630;2022.03.12 02:22:00;1.09120;;;;expiration
2022.03.11 15:09:48;Buy;40.00;USDCAD.pro;1.27550;1.25750;1.29650;2022.03.11 16:40:56;1.26983;;;-17 860.66;to #46641175
2022.03.07 11:17:02;Sell Stop;1.00;NZDCAD.pro;0.87120;0.87360;0.86880;2022.03.11 14:19:36;0.87402;;;;cancelled
2022.03.10 16:26:56;Sell Limit;100.00;EURUSD.pro;1.10630;1.12630;1.07630;2022.03.11 10:11:37;1.09744;;;;cancelled
2022.03.08 18:55:42;Sell Stop;1.00;AUDCAD.pro;0.93350;0.94050;0.92650;2022.03.10 21:30:20;0.93882;;;;cancelled
2022.03.08 18:40:52;Buy Stop;1.00;GBPNZD.pro;1.93500;1.92500;1.94500;2022.03.10 21:30:16;1.90759;;;;cancelled
2022.03.08 16:57:04;Buy Stop;1.00;GBPJPY.pro;153.200;152.800;153.700;2022.03.10 21:30:12;152.168;;;;cancelled
