datetime,value,cash,available_base,trade_type,buy_or_sell_price,received_amounts,paid_amounts,payment_commission,commission_type,buy_counts,sell_counts,stop_loss_counts,buy_and_hold
2021-04-24 03:59:59.999,1098.2059746969517,220.88896492411016,2859.10708741353,BUY,0.30717,2859.10708741353,879.1110350758898,0.8791110350758898,QUOTE,1,0,0,1100.0
2021-04-24 07:59:59.999,1112.3013726379004,220.88896492411016,2859.10708741353,,,,,,,1,0,0,1117.6731301939058
2021-04-24 11:59:59.999,1033.883120726767,209.62903556792975,2898.6287985611098,BUY,0.28462,39.52171114758001,11.2599293561804,0.011259929356180401,QUOTE,2,0,0,1019.3775460322634
2021-04-24 15:59:59.999,1066.4347221346081,209.62903556792975,2898.6287985611098,,,,,,,2,0,0,1059.6350008147303
2021-04-24 19:59:59.999,1052.579276477486,209.62903556792975,2898.6287985611098,,,,,,,2,0,0,1042.4995926348379
2021-04-24 23:59:59.999,1016.611119277357,1016.6111192770479,1.1095835361629725e-09,SELL,0.27868,806.9820837091181,2898.62879856,2.8986287985600003,BASE,2,1,0,998.8007169626853
2021-04-25 03:59:59.999,1015.8572984092908,205.58369945827894,2860.3275873729594,BUY,0.28326,2860.32758737185,811.027419818769,0.811027419818769,QUOTE,3,1,0,1015.505947531367
2021-04-25 04:00:59.469,1019.0322620312749,205.58369945827894,2860.3275873729594,,,,,,,3,1,0,1019.4850904350659
2021-04-25 11:59:59.999,1078.5562932523433,218.52849976400395,2817.9154439329595,SELL,0.30552,12.94480030572501,42.41214344,0.04241214344,BASE,3,2,0,1094.085057845853
2021-04-25 15:59:59.999,1112.5403535061746,218.52849976400395,2817.9154439329595,,,,,,,3,2,0,1137.3179077725272
2021-04-25 19:59:59.999,1065.0584782759042,218.52849976400395,2817.9154439329595,,,,,,,3,2,0,1076.913801531693
2021-04-25 23:59:59.999,1078.315586915125,1078.3155869142195,2.9594957595691085e-09,SELL,0.30542,859.7870871502156,2817.91544393,2.81791544393,BASE,3,3,0,1096.8812123187224
2021-04-26 03:59:59.999,1077.4569343883086,219.66306000948134,2554.63063428086,BUY,0.33578,2554.6306342779003,858.6525269047381,0.8586525269047381,QUOTE,4,3,0,1203.7086524360438
2021-04-26 07:59:59.999,1113.1448688861494,1113.144868885848,8.599272405263036e-10,SELL,0.3501,893.4818088763666,2554.63063428,2.55463063428,BASE,4,4,0,1256.7638911520287
2021-04-26 11:59:59.999,1112.2598087971069,228.08477981165186,2283.0971389094298,BUY,0.38727,2283.09713890857,885.0600890741961,0.8850600890741961,QUOTE,5,4,0,1388.290695779697
2021-04-26 15:59:59.999,1147.0313782226974,228.08477981165186,2283.0971389094298,,,,,,,5,4,0,1442.887404269187
2021-04-26 19:59:59.999,1142.8989724012713,228.08477981165186,2283.0971389094298,,,,,,,5,4,0,1436.398891966759
2021-04-26 23:59:59.999,1106.506404007055,228.08477981165186,2283.0971389094298,,,,,,,5,4,0,1379.2569659442725
