datetime,value,cash,available_base,trade_type,buy_or_sell_price,received_amounts,paid_amounts,payment_commission,commission_type,buy_counts,sell_counts,stop_loss_counts,buy_and_hold
2021-04-24 03:59:59.999,1098.9000000006583,6.584000402654056e-07,4.69474943112,BUY,234.07,4.69474943112,1099.9999993416,1.0999999993416,QUOTE,1,0,0,1100.0
2021-04-24 07:59:59.999,1086.4119665138792,6.584000402654056e-07,4.69474943112,,,,,,,1,0,0,1087.4994659717179
2021-04-24 11:59:59.999,1050.9666083089232,6.584000402654056e-07,4.69474943112,,,,,,,1,0,0,1052.0186269064811
2021-04-24 15:59:59.999,1084.950350173703,1084.9503499146583,1.1200000926692155e-09,SELL,231.33,1084.9503492562583,4.69474943,0.00469474943,BASE,1,1,0,1086.9355321057803
2021-04-24 19:59:59.999,1084.9503501714296,1084.9503499146583,1.1200000926692155e-09,,,,,,,1,1,0,1077.3956508736703
2021-04-24 23:59:59.999,1083.8171765828117,0.0,4.822323366330641,BUY,224.76,4.822323365210641,1084.9503499146583,1.0849503499146584,QUOTE,2,1,0,1056.2011364121845
2021-04-25 03:59:59.999,1080.4415502263803,0.0,4.822323366330641,,,,,,,2,1,0,1052.9115221942154
2021-04-25 04:01:00.278,1084.010069517465,0.0,4.822323366330641,,,,,,,2,1,0,1056.3891143674969
2021-04-25 11:59:59.999,1093.8136118064842,1093.8136103691122,6.330640900387152e-09,SELL,227.05,1093.8136103691122,4.82232336,0.00482232336,BASE,2,2,0,1067.009868842654
2021-04-25 15:59:59.999,1093.8136118532043,1093.8136103691122,6.330640900387152e-09,,,,,,,2,2,0,1101.6918015978126
2021-04-25 19:59:59.999,1093.8136117858464,1093.8136103691122,6.330640900387152e-09,,,,,,,2,2,0,1051.689665484684
2021-04-25 23:59:59.999,1093.813611786416,1093.8136103691122,6.330640900387152e-09,,,,,,,2,2,0,1052.1126158841373
2021-04-26 03:59:59.999,1093.8136118780205,1093.8136103691122,6.330640900387152e-09,,,,,,,2,2,0,1120.113641218439
2021-04-26 07:59:59.999,1092.7651452293353,0.045347621112341585,4.530159602040641,BUY,241.2,4.53015959571,1093.7682627479999,1.0937682627479999,QUOTE,3,2,0,1133.5540650232838
2021-04-26 11:59:59.999,1104.1631626933147,1104.1631621955005,2.0406405454309606e-09,SELL,243.97,1104.1178145743881,4.5301596,0.0045301596,BASE,3,3,0,1146.4305549621909
2021-04-26 15:59:59.999,1104.163162692172,1104.1631621955005,2.0406405454309606e-09,,,,,,,3,3,0,1143.7988635878155
2021-04-26 19:59:59.999,1104.1631626969267,1104.1631621955005,2.0406405454309606e-09,,,,,,,3,3,0,1154.7485794847696
2021-04-26 23:59:59.999,1103.148253694794,0.08925494950062784,4.45824508425064,BUY,247.4,4.4582450822099995,1104.0739072459999,1.104073907246,QUOTE,4,3,0,1162.7376425855514
2021-04-27 03:59:59.999,1105.8232007453444,0.08925494950062784,4.45824508425064,,,,,,,4,3,0,1165.557311915239
2021-04-27 07:59:59.999,1123.0225307094663,1123.02252963788,4.250639840108761e-09,SELL,252.13,1122.9332746883795,4.45824508,0.00445824508,BASE,4,4,0,1184.7310633571153
2021-04-27 11:59:59.999,1123.0225307303795,1123.02252963788,4.250639840108761e-09,,,,,,,4,4,0,1207.8523518605546
2021-04-27 15:59:59.999,1122.0739108946077,0.17440301948022352,4.3557072169706395,BUY,257.53,4.35570721272,1122.8481266183999,1.1228481266183998,QUOTE,5,4,0,1210.4370487461015
2021-04-27 19:59:59.999,1118.9939032087873,1118.9939014168451,6.97063917698415e-09,SELL,257.12,1118.819498397365,4.35570721,0.00435570721,BASE,5,5,0,1208.0873243046951
2021-04-27 23:59:59.999,1118.9939032276081,1118.9939014168451,6.97063917698415e-09,,,,,,,5,5,0,1220.7758362882898
2021-04-28 03:59:59.999,1118.9939031957522,1118.9939014168451,6.97063917698415e-09,,,,,,,5,5,0,1199.2993548938352
2021-04-28 07:59:59.999,1118.9939031866904,1118.9939014168451,6.97063917698415e-09,,,,,,,5,5,0,1193.1900713461785
2021-04-28 11:59:59.999,1117.9624058908541,0.08749826644498171,4.37045471743064,BUY,255.76,4.370454710460001,1118.9064031504001,1.1189064031504001,QUOTE,6,5,0,1202.0250352458665
2021-04-28 15:59:59.999,1100.699109757003,0.08749826644498171,4.37045471743064,,,,,,,6,5,0,1183.462212158756
2021-04-28 19:59:59.999,1127.7959290050728,0.08749826644498171,4.37045471743064,,,,,,,6,5,0,1212.5987952321955
2021-04-28 23:59:59.999,1129.8937472694397,0.08749826644498171,4.37045471743064,,,,,,,6,5,0,1214.8545306959456
2021-04-29 03:59:59.999,1109.9644737579558,0.08749826644498171,4.37045471743064,,,,,,,6,5,0,1193.425043790319
2021-04-29 07:59:59.999,1118.9239059286888,0.08749826644498171,4.37045471743064,,,,,,,6,5,0,1203.0589140000855
2021-04-29 11:59:59.999,1128.4952017598619,0.08749826644498171,4.37045471743064,,,,,,,6,5,0,1213.3507070534456
2021-04-29 15:59:59.999,1118.3120422682487,0.08749826644498171,4.37045471743064,,,,,,,6,5,0,1202.4009911564917
2021-04-29 19:59:59.999,1102.0539507194064,0.08749826644498171,4.37045471743064,,,,,,,6,5,0,1184.919041312428
2021-04-29 23:59:59.999,1115.9082921736617,0.08749826644498171,4.37045471743064,,,,,,,6,5,0,1199.8162942709446
2021-04-30 03:59:59.999,1135.8375656851454,0.08749826644498171,4.37045471743064,,,,,,,6,5,0,1221.2457811765712
2021-04-30 07:59:59.999,1157.0779756118584,0.08749826644498171,4.37045471743064,,,,,,,6,5,0,1244.0851027470417
2021-04-30 11:59:59.999,1140.776179515842,0.08749826644498171,4.37045471743064,,,,,,,6,5,0,1226.5561584141496
2021-04-30 15:59:59.999,1173.9479308211405,0.08749826644498171,4.37045471743064,,,,,,,6,5,0,1262.224975434699
2021-04-30 19:59:59.999,1171.1071352548106,0.08749826644498171,4.37045471743064,,,,,,,6,5,0,1259.1703336608707
2021-04-30 23:59:59.999,1185.0488858034144,0.08749826644498171,4.37045471743064,,,,,,,6,5,0,1274.1615755970436
2021-05-01 03:59:59.999,1198.2913635972293,0.08749826644498171,4.37045471743064,,,,,,,6,5,0,1288.4009057119667
2021-05-01 07:59:59.999,1183.169590274919,0.08749826644498171,4.37045471743064,,,,,,,6,5,0,1272.140812577434
2021-05-01 11:59:59.999,1189.725272351065,0.08749826644498171,4.37045471743064,,,,,,,6,5,0,1279.1899859016532
2021-05-01 15:59:59.999,1175.3464763307184,0.08749826644498171,4.37045471743064,,,,,,,6,5,0,1263.7287990771993
2021-05-01 19:59:59.999,1195.1883407478533,0.08749826644498171,4.37045471743064,,,,,,,6,5,0,1285.0642970051692
2021-05-01 23:59:59.999,1209.7419549568974,0.08749826644498171,4.37045471743064,,,,,,,6,5,0,1300.713461784936
2021-05-02 03:59:59.999,1169.4900670093612,0.08749826644498171,4.37045471743064,,,,,,,6,5,0,1257.4315375742299
2021-05-02 07:59:59.999,1174.603499028755,0.08749826644498171,4.37045471743064,,,,,,,6,5,0,1262.929892767121
2021-05-02 11:59:59.999,1189.288226879322,0.08749826644498171,4.37045471743064,,,,,,,6,5,0,1278.720041013372
2021-05-02 15:59:59.999,1172.6804989530856,0.08749826644498171,4.37045471743064,,,,,,,6,5,0,1260.8621352586833
